id	label
/g/11b630rrvh	Kettle whistle
/g/122z_qxw	Firecracker
/m/011k_j	Timpani
/m/01280g	Wild animals
/m/012f08	Motor vehicle (road)
/m/012n7d	Ambulance (siren)
/m/012ndj	Fire engine, fire truck (siren)
/m/012xff	Toothbrush
/m/0130jx	Sink (filling or washing)
/m/013y1f	Organ
/m/0140xf	Christmas music
/m/0145m	Afrobeat
/m/014yck	Aircraft engine
/m/014zdl	Explosion
/m/0150b9	Change ringing (campanology)
/m/0155w	Blues
/m/015jpf	Dial tone
/m/015lz1	Singing
/m/015p6	Bird
/m/015vgc	Carnatic music
/m/015y_n	Swing music
/m/0160x5	Digestive
/m/0164x2	Music of Africa
/m/016622	Tubular bells
/m/016cjb	Gospel music
/m/0174k2	Washing machine
/m/018j2	Banjo
/m/018p4k	Cart
/m/018vs	Bass guitar
/m/018w8	Basketball bounce
/m/0192l	Bagpipes
/m/0193bn	Sonic boom
/m/0195fx	Subway, metro, underground
/m/0199g	Bicycle, tricycle
/m/019jd	Boat, Water vehicle
/m/01b82r	Sawing
/m/01b9nn	Reverberation
/m/01b_21	Cough
/m/01bjv	Bus
/m/01bns_	Zither
/m/01c194	Mantra
/m/01d380	Drill
/m/01d3sd	Snoring
/m/01dwxx	Gull, seagull
/m/01g50p	Railroad car, train wagon
/m/01g90h	Stomach rumble
/m/01glhc	Tapping (guitar technique)
/m/01h3n	Bee, wasp, etc.
/m/01h82_	Engine knocking
/m/01h8n0	Conversation
/m/01hgjl	Scratching (performance technique)
/m/01hhp3	Yak
/m/01hnzm	Ringtone
/m/01hsr_	Sneeze
/m/01j2bj	Bathroom sounds
/m/01j3j8	Studio recording
/m/01j3sz	Laughter
/m/01j423	Yawn
/m/01j4z9	Chainsaw
/m/01jg02	Heart sounds, heartbeat
/m/01jg1z	Heart murmur
/m/01jnbd	Echo
/m/01jt3m	Toilet flush
/m/01jwx6	Vibration
/m/01kcd	Brass instrument
/m/01lsmm	Scissors
/m/01lynh	Stairs
/m/01lyv	Country
/m/01m2v	Computer keyboard
/m/01m4t	Printer
/m/01p970	Tabla
/m/01qbl	Cymbal
/m/01rd7k	Turkey
/m/01s0ps	Electric piano
/m/01s0vc	Zipper (clothing)
